class	tweet
1	Марин,приступ был не понятный какой-то. Затрясловсю от кишков до волос,в пот бросило,руки сука как каменные стали,ажно поднять только усилеем воли.Давку померила норм140/90 сердце было 94-97 ну я и хряпнула эгилок 50мг.Шатать начало померила,там 100/67 лежала,хз чё было,самавшоке
1	Объёбаный от ксанакса лежу на заднем сиденье
0	только закрыла глаза а в голове резко появилась картинка где мне ставят диагноз опухоль в мозгу и что это не вылечить лежу понимаю что флуоксетин чото не помогает 🤔
0	С утра перекрыла нихуевейшая паническая атака. Еле нашел ксанакс в сумке. Теперь у меня шорты по сюда.
0	бля у меня только одна капсула лоперамида осталась девочки запасаемся @kdd_bt @franz_elb иначе есть риск что я обдрищу вам всю хату
1	сейчас чуть не сдох в горле запершило кашлять начал думал все пизда приступ а симбикорт высоко поставлен
0	Эх щас бы пошеймить кого нибудь и закинутся ксанаксом))))ахах я такая крутая смотрите я лидер мнений
0	В борьбе с депрессией нельзя прибегать ко всякой химии типа ксанакса, потому что природа наградила человека естественной защитой — водкой.
0	мне было лень ставить аппарат я съел таблетку,если лучше не станет дыхну сальбутамолом
0	ОДНА БАБА В НАШЕЙ ДЕРЕВНЕ СОЖРАЛА ФЛУОКСЕТИН И РОДИЛА ПТЕРОДАКТИЛЯ.
0	из мордора мне выслали похожее на тахикардию состояние, конечно. зато за полдня с половинкой пароксетина написано и сделано больше, чем иной раз за день. традиционно не хочется жрать, но хочется бегать и творить, будто от щедрой порции спидов.
0	Что нужно сделать с телкой, чтобы она перестала меня преследовать. Может дать ей денег на прозак?
1	На совещании рассказали как дети траванулись баклосаном. Подумала в очередной раз, что дети тупые и гуглить не умеют.
0	сегодня приснилось, что я перебил в ступке ксанакс, растворил его в воде и налил коту, который не мог уснуть
1	Lil Peep'a убил токсичный эффект от фентанила и алпразолама. Фентанил, синтетический опиод, в сотни раз мощнее морфина. В крови нашли следы употребления марихуаны, кокаина и болеут-го Трамадол. В моче нашли остатки гидрокодона, гидроморфона, оксикодона, оксиморфона и оксимирона
0	ну типа "нация Прозака", конечно привозят.
1	Впервые 50кг без фена и флуоксетина! Похудела на чистом стрессе и нервах Хвастаюсь, потому что могу
0	первый раз я попала туда в середине лета из-за булимии нужный мне врач был в отпуске, поэтому я довольствовалась только общими тренингами, приемом антидепрессантов (флуоксетин в приоритете) и посещением кабинета глав врача, который корректировал дозы этих таблеток
1	у меня ночью был приступ от него и пришлось снимать сальбутамолом, я не уверен, что мне подойдет из-за БА
1	Поняла, что никакие отхода от веществ не сравнятся с синдромом отмены пароксетина
0	Кветиапин близок по своему действию к галоперидолу, просто новее. Но да, если подсесть на галоперидол, то дальше "идти некуда"
1	Глаз правый мутно видит, я не знаю что с этим делать, тетрациклин закладываю, ципрофлоксацин капаю, антибиотик пью.  Но глаз тупо перестаёт видеть.
0	@ZLOSVET Левомицетин, Ципролет какой самый простой Злоосвееееет, лечись, пожалуйста, мы волнуемся
1	Самое стремное чувство - это, когда таблетка флуоксетина застревает в горле и там растворяется, обжигая слизистую.
0	мне сменили сероквель на джчтототам и я на больничном, stay tuned
0	Купить Ксанакс, препарат в наличии в Москве -
1	С квентиакса очень смешно рубит. Будто я очень сильно перепила, но стараюсь выглядеть трезвой и не уснуть.
0	маленькая. Если мучает бронхиальный кашель, попробуйте найти сиропчик с сальбутамолом, нормально поможет
0	похмелился ксанаксом. отпустила мигрень и все признаки похмелья а-ля алкогольного.
1	у меня крепкий сон без отходняков под ксанаксом и рогипнолом
0	Играю в дотку и тут ,пасанята говорят ,шо у меня голос почти как у Техника,прихуел малясь ,ксанакса им подогнал
1	у меня от салтиказона несколько дней аритмия. Это наш заменитель серетида. От серетида так не трясло. Но если запретят салтиказон - буду вообще орать!! Потому что вообще ничего не останется что помогает! А вообще не верю нашим таблоидам-если они пишут вредно значит надо брать
0	@StacyHidan ну бывает) если нет имодиума, лоперамид не предложат
